codigo	mediaOperacoes90Dias	uf	cidade
517	11	PR	PARANACITY
641	11	PR	SAO JORGE DOESTE
680	11	RS	VALE REAL
127	11	RS	LAJEADO
411	11	SC	URUSSANGA
644	11	PR	NOVA ESPERANCA
656	11	SC	ANITA GARIBALDI
584	11	RS	GAURAMA
407	10	PR	PLANALTO
448	10	PR	CURIUVA
670	10	SC	CATANDUVAS
369	10	SC	RIO DO SUL
492	10	SC	CUNHA PORA
502	10	PR	PAICANDU
567	10	MS	AMAMBAI
628	10	PR	CENTENARIO DO SUL
137	10	RS	SANTA CRUZ DO SUL
510	10	PR	ALTO PARANA
687	10	PR	BORRAZOPOLIS
350	10	PR	REALEZA
352	10	SC	SAO LUDGERO
426	10	PR	MEDIANEIRA
486	10	SC	JAGUARUNA
140	10	RS	ESTRELA
199	10	RS	GUAPORE
507	10	PR	SANTA IZABEL DO OESTE
568	10	SC	MONDAI
552	10	RS	BARAO DO COTEGIPE
477	10	PR	CIDADEGAUCHA
355	9	RS	PARAI
624	9	SC	AGUA DOCE
688	9	MS	IGUATEMI
586	9	PR	JAPURA
310	8	RS	Roca Sales
674	8	RS	XANGRI-LA
160	8	RS	ENCANTADO
590	8	PR	CALIFORNIA
462	8	SC	MORRO DA FUMACA
689	7	PR	RONDON
654	7	RS	SANTA ROSA
100006	6	RS	SAPIRANGA
669	6	RS	ARARICA
302	5	RS	GRAVATAI
612	5	RS	BOM PRINCIPIO
484	4	RS	CANGUCU
436	4	RS	CASCA
301	4	RS	SAPUCAIA DO SUL
464	4	SC	GUARACIABA
690	3	SP	ROSANA
100002	1	RS	SAPIRANGA
